DATE,vwretd
1998/05/04,0.001749
1998/05/05,-0.005628
1998/05/06,-0.007841
1998/05/07,-0.008103
1998/05/08,0.010660
1998/05/11,-0.002003
1998/05/12,0.005204
1998/05/13,0.002481
1998/05/14,-0.001594
1998/05/15,-0.007218
1998/05/18,-0.004329
1998/05/19,0.004016
1998/05/20,0.004906
1998/05/21,-0.003107
1998/05/22,-0.004931
1998/05/26,-0.014828
1998/05/27,-0.003928
1998/05/28,0.005968
1998/05/29,-0.003673
1998/06/01,-0.003557
1998/06/02,0.002243
1998/06/03,-0.007366
1998/06/04,0.009505
1998/06/05,0.013883
1998/06/08,0.002800
1998/06/09,0.002433
1998/06/10,-0.007170
1998/06/11,-0.014528
